Car_ID,Make,Model,Price,Year,Fuel Type,Location,Transmission
51,Hyundai,Creta SX Plus 1.6 AT CRDI,1150000,2017,Diesel,Mumbai,Automatic
52,Hyundai,Creta SX Plus 1.6  Petrol,885000,2016,Petrol,Mumbai,Manual
53,Renault,Kwid 1.0 RXT AMT Opt,470000,2019,Petrol,Mumbai,Automatic
54,MG,Hector Sharp 2.0 Diesel [2019-2020],1611000,2019,Diesel,Mumbai,Manual
55,Tata,Tiago Revotron XZA [2017-2019],475000,2017,Petrol,Mumbai,Automatic
56,Toyota,Innova 2.5 GX BS IV 7 STR,865000,2015,Diesel,Delhi,Manual
57,BMW,X3 xDrive 20d Luxury Line [2018-2020],3800000,2018,Diesel,Mumbai,Automatic
58,Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,2475000,2020,Diesel,Mumbai,Automatic
59,Mahindra,Scorpio SLE BS-IV,400000,2014,Diesel,Gurgaon,Manual
60,Honda,Brio S MT,440000,2016,Petrol,Vadodara,Manual
61,BMW,3-Series 320i Luxury Line,2800000,2017,Petrol,Delhi,Automatic
62,Honda,City V Petrol [2017-2019],645000,2017,Petrol,Mumbai,Manual
63,Volkswagen,Polo Highline1.2L (D),365000,2013,Diesel,Jaipur,Manual
64,Maruti Suzuki,Vitara Brezza ZXi Plus,1044999,2021,Petrol,Mumbai,Manual
65,Maruti Suzuki,Eeco 7 STR [2019-2020],515000,2019,Petrol,Pune,Manual
66,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],455000,2015,Petrol,Mumbai,Automatic
67,BMW,X3 xDrive20d,1800000,2012,Diesel,Hyderabad,Automatic
68,Toyota,Fortuner 2.8 4x2 AT [2016-2020],3499000,2019,Diesel,Mumbai,Automatic
69,Honda,Civic 1.8S MT,190000,2006,Petrol,Deoghar,Manual
70,Audi,A4 2.0 TDI (143 bhp),1250000,2012,Diesel,Mumbai,Automatic
71,Maruti Suzuki,Swift ZXi Plus AMT,775000,2021,Petrol,Agra,Automatic
72,Hyundai,Elite i20 Sportz 1.5 MT Diesel,825000,2021,Diesel,Agra,Manual
73,Audi,A3 35 TDI Technology + Sunroof,2250000,2016,Diesel,Goa,Automatic
74,Honda,City V CVT Petrol [2017-2019],865000,2017,Petrol,Mumbai,Automatic
75,Ford,Figo Duratorq Diesel Titanium 1.4,299000,2013,Diesel,Mumbai,Manual
76,Honda,Jazz VX Petrol,570000,2017,Petrol,Mumbai,Manual
77,Volkswagen,Polo Highline1.2L (P),385000,2013,Petrol,Mumbai,Manual
78,Honda,Amaze 1.5 SX i-DTEC,350000,2014,Diesel,Warangal,Manual
79,Toyota,Camry 2.5L AT,2345000,2017,Petrol,Delhi,Automatic
80,Mahindra,Thar LX 4-STR Hard Top Petrol AT,1650000,2022,Petrol,Jalandhar,Automatic
81,Mercedes-Benz,C-Class 250 CDI Elegance,1100000,2011,Diesel,Hyderabad,Automatic
82,Audi,Q3 35 TDI quattro Premium Plus,2900000,2018,Diesel,Pune,Automatic
83,Maruti Suzuki,Baleno Sigma 1.2,545000,2017,Petrol,Noida,Manual
84,BMW,X1 sDrive20d xLine,2990000,2018,Diesel,Delhi,Automatic
85,Maruti Suzuki,Baleno Zeta 1.2,615000,2017,Petrol,Mumbai,Manual
86,Hyundai,Creta 1.6 SX Plus AT,890000,2016,Diesel,Ahmedabad,Automatic
87,Volkswagen,Vento Comfortline Petrol,430000,2015,Petrol,Mumbai,Manual
88,Mercedes-Benz,C-Class 220 BlueEfficiency,1650000,2013,Diesel,Bangalore,Automatic
89,Toyota,Camry Hybrid,1599000,2015,Petrol,Mumbai,Automatic
90,Maruti Suzuki,DZire VXi,691000,2019,Petrol,Ahmedabad,Manual
91,Nissan,Terrano XV D THP 110 PS,650000,2016,Diesel,Mumbai,Manual
92,Maruti Suzuki,Wagon R LXI CNG,415000,2015,CNG,Mumbai,Manual
93,Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],669000,2016,Diesel,Mohali,Manual
94,BMW,X5 xDrive30d Pure Experience (5 Seater),2950000,2015,Diesel,Navi Mumbai,Automatic
95,Mercedes-Benz,GLC 220 d Sport,3900000,2018,Diesel,Hyderabad,Automatic
96,Porsche,Cayenne Coupe Platinum Edition,16200000,2022,Petrol,Mumbai,Automatic
97,Mercedes-Benz,C-Class Cabriolet C 300,5100000,2017,Petrol,Ghaziabad,Automatic
98,Hyundai,Elite i20 Magna 1.2,525000,2015,Petrol,Mumbai,Manual
99,Hyundai,Verna 1.6 VTVT SX,750000,2018,Petrol,Kolkata,Manual
100,Honda,Amaze 1.2 SX i-VTEC,445000,2016,Petrol,Mumbai,Manual
101,Toyota,Corolla Altis 1.8 G,493000,2012,Petrol,Zirakpur,Manual
102,Hyundai,Elite i20 Sportz 1.2 (O),611000,2017,Petrol,Nagpur,Manual
103,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],475000,2014,Petrol,Thane,Automatic
104,Hyundai,Creta SX Plus 1.6  Petrol,925000,2017,Petrol,Mumbai,Manual
105,Audi,A6 2.0 TDI Premium,1325000,2012,Diesel,Goa,Automatic
106,BMW,X1 sDrive20d xLine,3900000,2021,Diesel,Delhi,Automatic
107,Mahindra,XUV300 W8 (O) 1.5 Diesel,1299000,2020,Diesel,Bangalore,Manual
108,Maruti Suzuki,Swift ZDi Plus,580000,2018,Diesel,Kolkata,Manual
109,Honda,Brio S MT,229000,2013,Petrol,Kolkata,Manual
110,Mahindra,Thar LX 4-STR Hard Top Petrol MT,1575000,2021,Petrol,Mumbai,Manual
111,Honda,City 1.5 S MT,375000,2011,Petrol,Pune,Manual
112,Mercedes-Benz,E-Class E 250 CDI Avantgarde,2250000,2015,Diesel,Mumbai,Automatic
113,Toyota,Fortuner 3.0 4x2 AT,1400000,2014,Diesel,Faridabad,Automatic
114,Tata,Zest XM 75 PS Diesel,425000,2017,Diesel,Ranchi,Manual
115,Skoda,Rapid Ambition 1.6 MPI AT Plus,425000,2014,Petrol,Mumbai,Automatic
116,Maruti Suzuki,Alto 800 Lxi,250000,2015,Petrol,Kanpur,Manual
117,Maruti Suzuki,Ertiga VDi,425000,2012,Diesel,Jalandhar,Manual
118,Hyundai,Santro GL LPG,120000,2009,LPG,Lucknow,Manual
119,Ford,Figo Duratorq Diesel ZXI 1.4,235000,2014,Diesel,Ludhiana,Manual
120,Audi,A3 35 TDI Technology + Sunroof,3050000,2020,Diesel,Bangalore,Automatic
121,Tata,Harrier XZ Plus,2145000,2020,Diesel,Bangalore,Manual
122,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,1245000,2021,Petrol,Bangalore,Automatic
123,Hyundai,Elite i20 Asta 1.2,549000,2015,Petrol,Gurgaon,Manual
124,Volkswagen,Polo Highline1.2L (D),484999,2013,Diesel,Bangalore,Manual
125,Maruti Suzuki,Swift DZire VXI,415000,2014,Petrol,Delhi,Manual
126,Hyundai,Santro GL (CNG),200000,2013,CNG,Kanpur,Manual
127,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],375000,2015,Petrol,Gurgaon,Manual
128,Tata,Nexon EV XZ Plus,1375000,2021,Electric,Mumbai,Automatic
129,Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],1875000,2022,Petrol,Delhi,Automatic
130,Audi,Q2 Premium Plus I 40 TFSI quattro,2950000,2020,Petrol,Ahmedabad,Automatic
131,Audi,Q7 45 TDI Premium Plus,4900000,2018,Diesel,Chandigarh,Automatic
132,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,1050000,2020,Petrol,Pune,Automatic
133,Hyundai,Verna Fluidic 1.6 CRDi SX,470000,2013,Diesel,Amritsar,Manual
134,Maruti Suzuki,Wagon R VXI,345000,2017,Petrol,Ranchi,Manual
135,BMW,5-Series 520d Sedan,1490000,2013,Diesel,Hyderabad,Automatic
136,Mahindra,Scorpio 2.6 Turbo 7 Str,550000,2007,Diesel,Ranchi,Manual
137,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],484999,2018,Petrol,Mumbai,Manual
138,Toyota,Fortuner 2.8 4x2 AT [2016-2020],3350000,2018,Diesel,Noida,Automatic
139,Maruti Suzuki,Ritz VXI BS-IV,210000,2011,Petrol,Delhi,Manual
140,Audi,Q5 45 TFSI Premium Plus,5651000,2022,Petrol,Delhi,Automatic
141,Renault,Duster RXS 1.5 Petrol MT,890000,2020,Petrol,Chennai,Manual
142,Maruti Suzuki,Swift DZire VXI,325000,2012,Petrol,Kanpur,Manual
143,Hyundai,Creta SX 1.6 AT Petrol,1390000,2019,Petrol,Mumbai,Automatic
144,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],459999,2016,Petrol,Kanpur,Manual
145,Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],1075000,2017,Diesel,Ludhiana,Manual
146,Hyundai,Verna EX 1.6 CRDi [2017-2018],484999,2013,Diesel,Ludhiana,Manual
147,Hyundai,i20 Magna 1.2,385000,2013,Petrol,Kanpur,Manual
148,Mercedes-Benz,GLC 220 d Sport,4400000,2018,Diesel,Pune,Automatic
149,Audi,A6 35 TDI Matrix,3900000,2018,Diesel,Goa,Automatic
150,Mahindra,Marazzo M2 8 STR,1050000,2019,Diesel,Lucknow,Manual
151,Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],1575000,2019,Diesel,Lucknow,Manual
152,Maruti Suzuki,Baleno Alpha 1.2,655000,2016,Petrol,Mumbai,Manual
153,Mercedes-Benz,E-Class E 220d Expression [2019-2019],4500000,2019,Diesel,Pune,Automatic
154,Maruti Suzuki,Ertiga ZDI + SHVS,865000,2016,Diesel,Navi Mumbai,Manual
155,Hyundai,Verna Fluidic 1.6 VTVT SX,699000,2017,Petrol,Navi Mumbai,Manual
156,Hyundai,Verna Fluidic 1.6 CRDi SX,425000,2012,Diesel,Jalandhar,Manual
157,Land Rover,Discovery Sport S,6500000,2020,Diesel,Hyderabad,Automatic
158,Toyota,Fortuner 2.8 4x2 AT [2016-2020],2900000,2017,Diesel,Delhi,Automatic
159,Mercedes-Benz,GLE 250 d,4550000,2017,Diesel,Navi Mumbai,Automatic
160,Hyundai,Xcent S 1.2 (O),490000,2015,Petrol,Udupi,Manual
161,Mercedes-Benz,S-Class Maybach S 500,11500000,2016,Petrol,Delhi,Automatic
162,Hyundai,Creta SX 1.6 AT Petrol,1475000,2019,Petrol,Bangalore,Automatic
163,MG,Hector Sharp 1.5 DCT Petrol [2019-2020],1729000,2020,Petrol,Panvel,Automatic
164,MG,Astor Sharp 1.5 CVT,1764999,2021,Petrol,Bangalore,Automatic
165,Honda,CR-V 2.4 AT,250000,2006,Petrol,Pune,Automatic
166,Maruti Suzuki,Alto 800 Lxi,245000,2016,Petrol,Faridabad,Manual
167,Renault,Duster 85 PS RxL,490000,2015,Diesel,Jamshedpur,Manual
168,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],550000,2017,Petrol,Aurangabad,Manual
169,Honda,City V,675000,2016,Petrol,Pune,Manual
170,Mercedes-Benz,C-Class C 200 Avantgarde,2225000,2015,Petrol,Mumbai,Automatic
171,Hyundai,Elite i20 Asta 1.4 (O) CRDi,560000,2016,Diesel,Ahmedabad,Manual
172,Skoda,Fabia Elegance 1.6 MPI,225000,2012,Petrol,Mumbai,Manual
173,Skoda,Rapid 1.5 TDI CR Ambition Plus AT,499000,2014,Diesel,Pune,Automatic
174,Kia,Sonet GTX Plus 1.0 DCT [2020-2021],1055000,2020,Petrol,Kolkata,Automatic
175,Mahindra,XUV500 W11 AT,2048999,2020,Diesel,Bangalore,Automatic
176,BMW,3-Series 320d Luxury Line,2775000,2018,Diesel,Jaipur,Automatic
177,Mercedes-Benz,GLA 200 CDI Sport,1650000,2015,Diesel,Faridabad,Automatic
178,Maruti Suzuki,Wagon R VXi,350000,2013,Petrol,Pune,Manual
179,Audi,A6 35 TDI Premium,1450000,2014,Diesel,Faridabad,Automatic
180,Mahindra,Scorpio VLX 2WD BS-IV,600000,2014,Diesel,Rudrapur,Manual
181,BMW,5-Series 520d Sedan,1250000,2012,Diesel,Mohali,Automatic
182,Toyota,Fortuner 3.0 4x4 MT,1675000,2014,Diesel,Jaipur,Manual
183,Hyundai,Elite i20 Magna 1.2,575000,2015,Petrol,Hyderabad,Manual
184,Ford,Ecosport Titanium+ 1.5L TDCi,699000,2017,Diesel,Mumbai,Manual
185,Audi,Q7 3.0 TDI quattro Premium Plus,2450000,2014,Diesel,Nashik,Automatic
186,Mercedes-Benz,C-Class C 250 d,2775000,2016,Diesel,Delhi,Automatic
187,Maruti Suzuki,S-Presso VXi,430000,2020,Petrol,Hyderabad,Manual
188,Mahindra,Scorpio S5 2WD 7 STR,1165000,2018,Diesel,Patna,Manual
189,MG,Hector Sharp 2.0 Diesel Turbo MT,1780000,2020,Diesel,Lucknow,Manual
190,Maruti Suzuki,Swift VDi BS-IV,295000,2011,Diesel,Hyderabad,Manual
191,Maruti Suzuki,Swift ZDi,495000,2017,Diesel,Varanasi,Manual
192,Honda,City VX (O) MT,975000,2019,Petrol,Lucknow,Manual
193,Toyota,Innova 2.5 G4 7 STR,645000,2013,Diesel,Kanpur,Manual
194,Renault,Duster 110 PS RxL Diesel,425000,2014,Diesel,Ludhiana,Manual
195,Audi,Q3 2.0 TDI quattro Premium,1350000,2012,Diesel,Hyderabad,Automatic
196,Mercedes-Benz,M-Class 350 CDI,3200000,2014,Diesel,Pune,Automatic
197,Volvo,V40 Cross Country D3,1250000,2013,Diesel,Navi Mumbai,Automatic
198,BMW,5-Series 530d M Sport [2013-2017],5600000,2018,Diesel,Chennai,Automatic
199,Maruti Suzuki,Swift DZire VDI,560000,2013,Diesel,Salem,Manual
200,Mahindra,Scorpio S5 2WD 7 STR,1221000,2019,Diesel,Patna,Manual
201,BMW,X5 xDrive 30d M Sport,2975000,2015,Diesel,Mohali,Automatic
202,Honda,City 1.5 S AT,295000,2009,Petrol,Mumbai,Automatic
203,Mercedes-Benz,C-Class 200 CGI,1300000,2012,Petrol,Delhi,Automatic
204,Hyundai,Creta 1.6 SX Plus AT,950000,2016,Diesel,Dehradun,Automatic
205,Mercedes-Benz,E-Class E350 CDI Avantgarde,1350000,2012,Diesel,Vadodara,Automatic
206,Mercedes-Benz,M-Class ML 350 CDI,2682000,2015,Diesel,Gurgaon,Automatic
207,Maruti Suzuki,Alto 800 Lxi,286000,2017,Petrol,Jamshedpur,Manual
208,Hyundai,i20 Magna 1.4 CRDI,340000,2013,Diesel,Chandigarh,Manual
209,Skoda,Rapid Style AT,1125000,2020,Petrol,Bangalore,Automatic
210,Tata,Nexon XMA Petrol,580000,2018,Petrol,Valsad,Automatic
211,Maruti Suzuki,Swift DZire VXI,495000,2015,Petrol,Pune,Manual
212,Maruti Suzuki,Swift DZire ZDI,550000,2014,Diesel,Chennai,Manual
213,Kia,Sonet GTX Plus 1.5 AT [2020-2021],1485000,2021,Diesel,Mumbai,Automatic
214,Skoda,Rapid Monte Carlo 1.6 MPI MT,885000,2018,Petrol,Bangalore,Manual
215,Audi,RS5 4.2 Coupe,3650000,2012,Petrol,Mumbai,Automatic
216,Hyundai,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,715000,2020,Petrol,Bangalore,Automatic
217,Mercedes-Benz,R-Class R350 4MATIC,2485000,2012,Petrol,Bangalore,Automatic
218,Toyota,Innova 2.4 G 7 STR [2016-2017],2250000,2020,Diesel,Jaipur,Manual
219,Hyundai,Creta SX Plus 1.6 AT CRDI,1050000,2017,Diesel,Zirakpur,Automatic
220,Toyota,Fortuner 2.8 4x2 AT [2016-2020],3600000,2018,Diesel,Mumbai,Automatic
221,Honda,City 1.5 S MT,295000,2010,Petrol,Zirakpur,Manual
222,Renault,Kwid RXT Opt,375000,2019,Petrol,Varanasi,Manual
223,Audi,A6 2.0 TFSi Technology Pack,7200000,2021,Petrol,Bangalore,Automatic
224,Tata,Safari XZA Plus 6S Adventure New,2395000,2021,Diesel,Bangalore,Automatic
225,Audi,A6 2.0 TDI Premium,1775000,2014,Diesel,Ahmedabad,Automatic
226,Maruti Suzuki,Ritz Vdi BS-IV,275000,2011,Diesel,Mumbai,Manual
227,Honda,Brio EX MT,325000,2014,Petrol,Haldwani,Manual
228,Maruti Suzuki,Swift ZDi,425000,2013,Diesel,Delhi,Manual
229,Mahindra,Scorpio S9 2WD 7 STR,1475000,2020,Diesel,Yamunanagar,Manual
230,Toyota,Innova 2.8 GX AT 7 STR [2016-2020],1580000,2018,Diesel,Delhi,Automatic
231,Honda,Amaze VX CVT 1.2 Petrol,869000,2021,Petrol,Mangalore,Automatic
232,Mercedes-Benz,GLE 250 d,5850000,2019,Diesel,Mumbai,Automatic
233,Jeep,Compass Longitude Plus 2.0 Diesel 4x4 AT,1900000,2020,Diesel,Ahmedabad,Automatic
234,Maserati,Levante Diesel,9000000,2017,Diesel,Chennai,Automatic
235,Toyota,Fortuner 2.8 4x2 AT [2016-2020],3550000,2020,Diesel,Delhi,Automatic
236,Porsche,Cayenne Turbo,3500000,2014,Petrol,Mumbai,Automatic
237,Toyota,Innova GX 2.4 AT 7 STR,2425000,2022,Diesel,Agra,Automatic
238,BMW,X5 xDrive 30d,5811000,2018,Diesel,Mumbai,Automatic
239,Toyota,Fortuner 3.0 MT,750000,2011,Diesel,Agra,Manual
240,Audi,Q7 35 TDI Premium + Sunroof,2200000,2014,Diesel,Lucknow,Automatic
241,Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],520000,2019,CNG,Kanpur,Manual
242,Maruti Suzuki,Alto VXi (O),390000,2018,Petrol,Lucknow,Manual
243,Maruti Suzuki,Ciaz VXi (O),540000,2015,Petrol,Mumbai,Manual
244,Maruti Suzuki,Swift VDi AMT [2018-2019],699000,2018,Diesel,Mumbai,Automatic
245,Hyundai,Verna Fluidic 1.6 CRDi SX,484999,2013,Diesel,Chandigarh,Manual
246,Mercedes-Benz,C-Class C 43 AMG,7500000,2021,Petrol,Delhi,Automatic
247,Mercedes-Benz,E-Class E250 CDI BlueEfficiency,850000,2011,Diesel,Mohali,Automatic
248,Tata,Nexon XZA Plus Petrol,1085000,2018,Petrol,Bangalore,Automatic
249,Maruti Suzuki,Alto 800 Vxi,319000,2013,Petrol,Dharwad,Manual
250,Mahindra,XUV500 W8,549000,2012,Diesel,Mohali,Manual
251,Tata,Harrier XZ [2019-2020],1725000,2019,Diesel,Hyderabad,Manual
252,Honda,Mobilio S Diesel,475000,2015,Diesel,Agra,Manual
253,Tata,Punch Creative iRA Pack MT,890000,2022,Petrol,Mumbai,Manual
254,Maruti Suzuki,Wagon R VXi,235000,2012,Petrol,Mumbai,Manual
255,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],445000,2016,Petrol,Mumbai,Manual
256,Honda,City V,1060000,2019,Petrol,Pune,Manual
257,Maruti Suzuki,Baleno Alpha 1.3,690000,2017,Diesel,Surat,Manual
258,Jaguar,F-Pace Prestige,4200000,2018,Diesel,Chennai,Automatic
259,BMW,X5 xDrive30d Pure Experience (5 Seater),2950000,2015,Diesel,Pune,Automatic
260,Land Rover,Range Rover Sport SE 2.0 Petrol,12500000,2022,Petrol,Mohali,Automatic
261,Toyota,Fortuner 3.0 4x4 AT,1750000,2015,Diesel,Jaipur,Automatic
262,Renault,Kwid 1.0 RXT Edition,395000,2018,Petrol,Raipur,Manual
263,BMW,X1 sDrive20d Expedition,2790000,2018,Diesel,Chennai,Automatic
264,Audi,Q3 35 TDI quattro Premium Plus,2475000,2018,Diesel,Delhi,Automatic
265,Maruti Suzuki,Wagon R LXi Minor,145000,2009,Petrol,Ranchi,Manual
266,Hyundai,Elite i20 Asta 1.2 AT,750000,2018,Petrol,Mumbai,Automatic
267,BMW,3-Series 320d,800000,2012,Diesel,Mumbai,Automatic
268,Mahindra,XUV500 W10,950000,2016,Diesel,Lucknow,Manual
269,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],569000,2018,Petrol,Bangalore,Manual
270,Maruti Suzuki,Swift DZire VXI,470000,2016,Petrol,Ranchi,Manual
271,Porsche,Cayenne Diesel,5350000,2015,Diesel,Chandigarh,Automatic
272,Nissan,Terrano XL D Plus,450000,2014,Diesel,Hyderabad,Manual
273,Renault,Kwid 1.0 RXT [2016-2019],299000,2016,Petrol,Mumbai,Manual
274,Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],1875000,2020,Petrol,Mumbai,Automatic
275,Mahindra,Thar LX 4-STR Hard Top Diesel AT,1825000,2022,Diesel,Mumbai,Automatic
276,Land Rover,Discovery Sport HSE 7-Seater,4459000,2018,Diesel,Indore,Automatic
277,BMW,5-Series 525d Sedan,1195000,2010,Diesel,Mumbai,Automatic
278,Toyota,Glanza G CVT,790000,2019,Petrol,Delhi,Automatic
279,Hyundai,Creta 1.6 SX Plus AT Petrol,1095000,2017,Petrol,Hyderabad,Automatic
280,Toyota,Innova 2.4 G 7 STR [2016-2017],1950000,2020,Diesel,Ludhiana,Manual
281,Volkswagen,Polo GT TSI,525000,2015,Petrol,Faridabad,Automatic
282,Isuzu,MU-X 4x2,2100000,2018,Diesel,Hyderabad,Automatic
283,Maruti Suzuki,Alto VXi,270000,2014,Petrol,Jamshedpur,Manual
284,Toyota,Corolla Altis G AT Petrol,894999,2015,Petrol,Mumbai,Automatic
285,Hyundai,i10 Sportz 1.2 AT Kappa2,335000,2013,Petrol,Pune,Automatic
286,Tata,Hexa XE 4x2 7 STR,1000000,2018,Diesel,Mumbai,Manual
287,Hyundai,i10 Sportz 1.2,220000,2009,Petrol,Hyderabad,Manual
288,Hyundai,Creta 1.6 SX Plus AT Petrol,960000,2016,Petrol,Thane,Automatic
289,Mercedes-Benz,GLS 350 d,7200000,2018,Diesel,Bangalore,Automatic
290,Audi,Q3 2.0 TDI quattro Premium Plus,1300000,2014,Diesel,Raipur,Automatic
291,Volkswagen,Polo Comfortline 1.2L (P),375000,2013,Petrol,Delhi,Manual
292,Maruti Suzuki,Ritz VXI BS-IV,300000,2011,Petrol,Pune,Manual
293,Jaguar,XE Prestige Diesel,3299000,2017,Diesel,Bangalore,Automatic
294,Tata,Safari 4x2 EX TCIC,565000,2014,Diesel,Ranchi,Manual
295,Audi,Q3 35 TDI Premium + Sunroof,1798999,2016,Diesel,Karnal,Automatic
296,Maruti Suzuki,Alto LXi BS-III,189000,2008,Petrol,Chennai,Manual
297,Jaguar,XF 3.0 V6 Premium Luxury,1875000,2014,Diesel,Mumbai,Automatic
298,Hyundai,Verna Fluidic 1.6 VTVT SX Opt,545000,2014,Petrol,Noida,Manual
299,Hyundai,Venue SX 1.0 Turbo iMT,1085000,2022,Petrol,Mumbai,Manual
300,Maruti Suzuki,Vitara Brezza VDi,725000,2018,Diesel,Lucknow,Manual
301,BMW,X3 xDrive20d,1090000,2012,Diesel,Delhi,Automatic
302,Honda,WR-V VX MT Petrol,900000,2019,Petrol,Ahmedabad,Manual
303,BMW,5-Series 520d Luxury Line [2017-2019],3400000,2016,Diesel,Coimbatore,Automatic
304,Honda,Amaze 1.5 S i-DTEC,295000,2014,Diesel,Varanasi,Manual
