Feature_ID,Car_ID,Color,Seating Capacity,Fuel Tank Capacity
181,181,Black,5,40
182,182,White,7,80
183,183,White,5,45
184,184,Grey,5,52
185,185,Blue,6,100
186,186,Black,5,66
187,187,Silver,5,27
188,188,White,7,60
189,189,Black,5,60
190,190,Silver,5,43
191,191,White,5,37
192,192,Silver,5,40
193,193,Grey,7,55
194,194,White,5,50
195,195,White,5,64
196,196,Silver,5,95
197,197,Silver,5,60
198,198,White,5,65
199,199,Gold,5,42
200,200,White,7,60
201,201,Yellow,5,40
202,202,Grey,5,42
203,203,Silver,5,66
204,204,Silver,5,60
205,205,White,5,80
206,206,White,5,70
207,207,Silver,5,35
208,208,Silver,5,45
209,209,Red,5,55
210,210,Red,5,44
211,211,Silver,5,42
212,212,White,5,42
213,213,Red,5,45
214,214,Red,5,55
215,215,Blue,5,64
216,216,Silver,5,37
217,217,White,7,80
218,218,Grey,7,55
219,219,Silver,5,60
220,220,White,7,80
221,221,White,5,42
222,222,Silver,5,28
223,223,White,5,75
224,224,Blue,6,50
225,225,White,5,65
226,226,Silver,5,43
227,227,Silver,5,35
228,228,White,5,42
229,229,White,7,60
230,230,Beige,7,55
231,231,Brown,5,35
232,232,Grey,5,93
233,233,Grey,5,60
234,234,White,5,80
235,235,Black,7,80
236,236,Blue,5,100
237,237,Black,7,55
238,238,Blue,5,40
239,239,White,7,80
240,240,White,7,100
241,241,White,5,60
242,242,Silver,5,35
243,243,Gold,5,43
244,244,Red,5,37
245,245,White,5,43
246,246,Red,4,66
247,247,White,5,90
248,248,Red,5,44
249,249,Red,5,35
250,250,Silver,7,70
251,251,White,5,50
252,252,White,7,42
253,253,White,5,37
254,254,Brown,5,35
255,255,Grey,5,43
256,256,Maroon,5,40
257,257,Orange,5,37
258,258,Blue,5,82
259,259,Black,5,40
260,260,White,5,104
261,261,Black,7,80
262,262,Blue,5,28
263,263,White,5,51
264,264,Red,5,64
265,265,Red,5,35
266,266,Red,5,40
267,267,White,5,40
268,268,White,7,70
269,269,Grey,5,43
270,270,White,5,42
271,271,White,5,85
272,272,Silver,5,50
273,273,Brown,5,28
274,274,Black,5,50
275,275,Black,4,57
276,276,White,7,65
277,277,Silver,5,70
278,278,Red,5,37
279,279,Red,5,60
280,280,Grey,7,55
281,281,Grey,5,45
282,282,White,7,65
283,283,Silver,5,35
284,284,White,5,55
285,285,Grey,5,35
286,286,White,7,60
287,287,Gold,5,35
288,288,Red,5,60
289,289,White,7,100
290,290,Gold,5,64
291,291,Red,5,45
292,292,White,5,40
293,293,Blue,5,56
294,294,White,7,65
295,295,White,5,64
296,296,Blue,5,35
297,297,Green,5,40
298,298,Red,5,43
299,299,Blue,5,45
300,300,White,5,48
301,301,Silver,5,67
302,302,White,5,40
303,303,White,5,65
304,304,Bronze,5,35
305,305,White,5,50
306,306,Blue,4,68
307,307,Brown,5,35
308,308,Brown,5,43
309,309,Blue,5,62
310,310,Silver,5,40
311,311,White,5,45
312,312,White,5,60
313,313,White,7,80
314,314,Silver,5,66
315,315,White,5,40
316,316,White,5,70
317,317,Silver,5,42
318,318,White,5,59
319,319,Gold,5,57
320,320,White,7,55
321,321,White,5,45
322,322,Red,5,45
323,323,White,5,35
324,324,Black,7,60
325,325,White,5,40
326,326,White,5,37
327,327,Bronze,7,55
328,328,White,5,60
329,329,Grey,5,42
330,330,Brown,5,40
331,331,Silver,5,42
332,332,White,5,55
333,333,Brown,5,35
334,334,Black,5,50
335,335,Blue,5,40
336,336,Maroon,5,43
337,337,Grey,7,70
338,338,Blue,5,57
339,339,White,5,40
340,340,Black,7,55
341,341,Red,5,50
342,342,Silver,5,85
343,343,White,5,80
344,344,White,5,52
345,345,White,5,37
346,346,Silver,5,45
347,347,Grey,5,55
348,348,White,5,56
349,349,White,5,64
350,350,White,5,42
351,351,Black,7,70
352,352,Red,4,57
353,353,Red,5,42
354,354,Grey,5,37
355,355,White,7,80
356,356,Blue,5,65
357,357,White,5,35
358,358,Silver,5,35
359,359,White,5,48
360,360,Grey,5,43
361,361,Black,5,45
362,362,Black,5,55
363,363,White,5,40
364,364,Black,5,62
365,365,Silver,7,65
366,366,White,2,60
367,367,Blue,5,35
368,368,Grey,5,42
369,369,White,5,40
370,370,White,5,35
371,371,Blue,5,64
372,372,White,4,59
373,373,Black,5,44
374,374,Silver,5,52
375,375,Brown,5,40
376,376,Grey,5,35
377,377,Silver,5,35
378,378,Black,5,60
379,379,White,5,66
380,380,Green,5,60
381,381,White,7,80
382,382,White,5,42
383,383,White,5,43
384,384,Beige,5,66.5
385,385,Blue,5,67
386,386,White,5,60
387,387,White,7,60
388,388,Orange,5,48
389,389,White,7,65
390,390,Gold,8,55
391,391,White,5,45
392,392,White,5,40
393,393,Silver,8,60
394,394,Blue,5,66
395,395,White,5,45
396,396,White,5,70
397,397,Blue,5,43
398,398,Grey,5,80
399,399,Black,6,57
400,400,White,5,40
401,401,Silver,5,40
402,402,Blue,5,37
403,403,Blue,5,60
404,404,Orange,5,35
405,405,White,5,35
406,406,White,5,35
407,407,Silver,5,35
408,408,White,5,37
409,409,White,5,40
410,410,White,5,32
411,411,Silver,5,40
412,412,Grey,5,32
413,413,Blue,5,35
414,414,Black,5,90
415,415,White,4,55
416,416,White,8,55
417,417,Grey,5,50
418,418,White,5,50
419,419,Grey,5,55
420,420,Blue,5,45
421,421,Brown,5,40
422,422,Orange,5,44
423,423,Red,5,37
424,424,White,7,100
425,425,Red,5,64
426,426,Silver,5,40
427,427,Grey,5,66
428,428,Brown,5,66
429,429,White,5,35
430,430,Grey,5,45
431,431,Blue,5,37
432,432,White,5,35
433,433,Grey,5,43
434,434,White,5,80
435,435,Red,5,50
436,436,White,5,57
437,437,White,8,60
438,438,White,5,60
439,439,Gold,7,45
440,440,Silver,5,43
441,441,Maroon,5,43
442,442,White,5,40
443,443,Black,4,70
444,444,White,5,57
445,445,Silver,7,70
446,446,Red,5,56
447,447,Silver,5,43
448,448,Brown,5,35
449,449,Black,5,80
450,450,White,7,63
451,451,Blue,7,60
452,452,Brown,5,52
453,453,Black,5,82
454,454,Silver,5,56
455,455,Bronze,7,55
456,456,Blue,5,42
457,457,Purple,5,47
458,458,White,5,37
459,459,White,7,60
460,460,Silver,5,44
461,461,White,5,35
462,462,Black,5,64
463,463,White,6,45
464,464,Silver,5,40
465,465,Red,2,54
466,466,Grey,5,42
467,467,White,5,57
468,468,White,5,35
469,469,Red,5,43
470,470,White,5,32
471,471,Black,5,66
472,472,Silver,5,43
473,473,White,5,93
474,474,Black,7,60
475,475,Grey,5,40
476,476,Blue,5,63
477,477,Blue,5,63
478,478,Brown,5,40
479,479,Blue,5,65
480,480,White,5,66
481,481,Blue,5,60
482,482,White,5,40
483,483,Brown,5,40
484,484,Black,2,78
485,485,White,5,71
486,486,White,5,57
487,487,Brown,5,35
488,488,Yellow,5,53
489,489,Grey,5,53
490,490,Black,5,93
491,491,Red,5,35
492,492,White,4,15
493,493,White,5,53
494,494,Silver,5,42
495,495,White,5,55
496,496,White,5,80
497,497,Gold,5,55
498,498,White,5,48
499,499,Blue,5,37
500,500,Blue,7,70
501,501,Red,5,42
502,502,Grey,5,42
503,503,Silver,5,64
504,504,Brown,5,55
505,505,Silver,7,80
506,506,Silver,5,35
507,507,White,5,35
508,508,Black,5,50
509,509,Brown,5,60
510,510,White,5,53
511,511,Blue,2,53
512,512,Gold,5,50
513,513,White,5,50
514,514,Blue,5,66
515,515,White,5,37
516,516,White,5,35
517,517,Silver,5,35
518,518,White,5,32
519,519,Silver,5,35
520,520,White,5,35
521,521,White,5,93
522,522,Blue,5,64
523,523,Grey,5,35
524,524,Red,5,35
525,525,Silver,5,45
526,526,Black,4,78
527,527,White,5,50
528,528,Black,7,70
529,529,Black,7,71
530,530,White,5,62
531,531,Black,5,45
532,532,Bronze,5,55
533,533,Grey,5,43
534,534,White,7,80
535,535,White,5,43
536,536,White,5,48
537,537,Blue,5,48
538,538,Grey,5,45
539,539,Brown,5,35
540,540,White,5,54
541,541,White,5,52
542,542,White,5,40
543,543,Blue,7,90
544,544,Black,5,50
545,545,White,5,65
546,546,White,5,63
547,547,White,5,63
548,548,Maroon,5,42
549,549,Silver,5,65
550,550,Black,7,100
551,551,Grey,5,44
552,552,Silver,5,40
553,553,White,7,60
554,554,Black,6,75
555,555,Silver,5,43
556,556,Blue,5,64
557,557,White,5,35
558,558,Grey,5,28
559,559,White,5,67
560,560,White,5,48
561,561,Gold,5,35
562,562,Blue,5,37
563,563,White,5,45
564,564,Silver,5,37
565,565,Others,5,37
566,566,Silver,7,65
567,567,Red,7,60
568,568,Silver,7,55
569,569,White,5,64
570,570,White,7,70
571,571,Grey,5,45
572,572,White,2,53
573,573,Silver,5,37
574,574,White,5,57
575,575,Red,5,45
576,576,Silver,5,90
577,577,Brown,5,66
578,578,Grey,5,80
579,579,White,5,45
580,580,White,5,48
581,581,White,5,35
582,582,White,5,80
583,583,Blue,5,105
584,584,Red,5,44
585,585,White,7,80
586,586,Grey,5,50
587,587,White,5,48
588,588,White,5,55
589,589,Orange,5,52
590,590,Black,5,50
591,591,Silver,5,40
592,592,White,5,48
593,593,Silver,5,52
594,594,Brown,5,40
595,595,Brown,5,48
596,596,Black,5,80
597,597,White,5,45
598,598,Red,5,35
599,599,White,5,42
600,600,Silver,5,67
601,601,Silver,5,54
602,602,Silver,5,42
603,603,White,5,42
604,604,Silver,5,43
605,605,White,7,63
606,606,White,5,50
607,607,White,5,42
608,608,Silver,5,37
609,609,Black,7,80
610,610,White,5,54
611,611,Red,5,40
612,612,White,5,66
613,613,Black,2,53
614,614,White,5,93
615,615,Black,7,100
616,616,White,5,35
617,617,Red,4,57
618,618,White,7,80
619,619,White,5,32
620,620,White,5,42
621,621,White,5,50
622,622,Silver,5,60
623,623,Red,5,48
624,624,White,7,60
625,625,Grey,5,60
626,626,Silver,5,43
627,627,White,5,37
628,628,Silver,5,42
629,629,White,7,80
630,630,White,5,43
631,631,Blue,5,65
632,632,White,5,45
633,633,White,5,35
634,634,White,2,53
635,635,Blue,6,45
636,636,Blue,5,51
637,637,White,7,100
638,638,White,5,50
639,639,White,5,35
640,640,Grey,5,53
641,641,Silver,5,37
642,642,Brown,5,55
643,643,Purple,5,53
644,644,Black,7,85
645,645,White,5,35
646,646,Grey,7,70
647,647,Red,5,48
648,648,Grey,5,42
649,649,Grey,5,53
650,650,Grey,5,35
651,651,White,5,51
652,652,White,5,56
653,653,White,5,40
654,654,White,5,43
655,655,Blue,5,41
656,656,Grey,5,37
657,657,Silver,5,45
658,658,Silver,7,60
659,659,Maroon,8,55
660,660,Grey,5,50
661,661,Grey,5,37
662,662,Grey,5,55
663,663,White,5,32
664,664,Red,5,42
665,665,Red,4,50
666,666,Blue,5,37
667,667,Blue,5,55
668,668,White,5,70
669,669,Blue,5,75
670,670,Black,5,45
671,671,Grey,6,50
672,672,Grey,5,35
673,673,White,7,45
674,674,Maroon,5,35
675,675,Red,5,57
676,676,Black,5,80
677,677,Brown,5,40
678,678,Blue,5,57
679,679,Maroon,5,40
680,680,Black,5,75
681,681,White,5,42
682,682,Silver,5,66
683,683,Blue,5,66
684,684,White,5,60
685,685,Red,5,60
686,686,Gold,7,80
687,687,White,5,45
688,688,Maroon,7,70
689,689,Silver,5,35
690,690,Black,7,70
691,691,White,8,60
692,692,White,5,77
693,693,Silver,5,40
694,694,White,5,63
695,695,White,5,35
696,696,White,5,60
697,697,White,5,55
698,698,White,7,45
699,699,White,5,50
700,700,Silver,5,70
701,701,Silver,5,37
702,702,Grey,7,55
703,703,White,5,35
704,704,Black,7,65
705,705,Silver,5,40
706,706,White,5,42
707,707,Grey,5,43
708,708,White,5,43
709,709,White,5,35
710,710,White,5,48
711,711,Orange,5,60
712,712,Blue,5,50
713,713,White,7,70
714,714,White,5,35
715,715,Silver,5,43
716,716,White,7,53
717,717,White,5,40
718,718,Silver,5,63
719,719,Blue,5,50
720,720,Silver,5,55
721,721,Silver,5,43
722,722,Blue,5,50
723,723,Grey,7,53
724,724,White,5,66
725,725,White,8,60
726,726,White,7,80
727,727,Silver,5,80
728,728,Bronze,7,53
729,729,Blue,5,65
730,730,Grey,7,53
731,731,White,5,92
732,732,Red,5,45
733,733,White,8,45
734,734,White,5,75
735,735,Blue,5,50
736,736,Silver,7,55
737,737,White,5,50
738,738,White,5,43
739,739,White,7,80
740,740,Silver,5,35
741,741,Purple,5,60
742,742,Black,5,50
743,743,Blue,5,80
744,744,Beige,5,66
745,745,Red,5,60
746,746,Gold,5,35
747,747,Grey,5,40
748,748,Black,4,44
749,749,White,7,60
750,750,Others,5,28
751,751,Blue,5,93
752,752,Grey,5,60
753,753,Grey,5,37
754,754,White,5,63
755,755,Black,4,57
756,756,Orange,5,35
757,757,White,5,66
758,758,Silver,6,75
759,759,White,5,45
760,760,Black,5,63
761,761,Brown,5,80
762,762,Green,5,28
763,763,Blue,5,48
764,764,White,5,37
765,765,White,5,65
766,766,White,5,40
767,767,Silver,5,35
768,768,Black,7,60
769,769,Grey,5,43
770,770,White,5,40
771,771,White,5,37
772,772,White,5,57
773,773,Silver,5,80
774,774,White,5,64
775,775,White,7,53
776,776,Brown,5,80
777,777,White,7,75
778,778,Grey,5,41
779,779,Blue,5,52
780,780,Blue,5,57
781,781,Brown,4,57
782,782,Silver,5,37
783,783,White,5,54
784,784,Silver,7,45
785,785,Grey,5,55
786,786,Yellow,2,54
787,787,White,5,57
788,788,Black,5,50
789,789,Black,7,70
790,790,Silver,5,66
791,791,Brown,5,37
792,792,Grey,5,35
793,793,Silver,5,35
794,794,White,5,77
795,795,Bronze,5,93
796,796,Blue,5,37
797,797,White,5,60
798,798,Red,7,65
799,799,Brown,5,40
800,800,White,7,50
801,801,Grey,5,50
802,802,White,5,75
803,803,White,5,60
804,804,White,6,60
805,805,Blue,5,64
806,806,Silver,5,48
807,807,Blue,5,43
808,808,White,5,50
809,809,White,5,40
810,810,White,7,53
811,811,White,5,83
812,812,White,5,80
813,813,White,5,45
814,814,White,4,78
815,815,Grey,7,53
816,816,Grey,5,28
817,817,White,5,62
818,818,White,5,45
819,819,Grey,5,41
820,820,Red,5,57
821,821,Others,7,60
822,822,White,5,32
823,823,Grey,5,43
824,824,Grey,5,55
825,825,Beige,7,53
826,826,White,5,42
827,827,White,5,43
828,828,Others,5,50
829,829,White,7,70
830,830,Grey,5,40
831,831,White,5,80
832,832,Others,5,28
833,833,White,7,45
834,834,Red,5,60
835,835,Red,5,37
836,836,Black,4,44
837,837,Silver,5,45
838,838,White,7,53
839,839,White,5,93
840,840,White,5,43
841,841,White,7,100
842,842,Black,5,55
843,843,Grey,5,40
844,844,Yellow,5,37
845,845,White,5,45
846,846,Grey,5,40
847,847,Silver,5,90
848,848,Blue,5,37
849,849,Pink,5,35
850,850,Blue,5,45
851,851,Green,8,60
852,852,Blue,7,75
853,853,Bronze,7,55
854,854,White,7,78
855,855,Green,5,85
856,856,White,5,35
857,857,Black,5,65
858,858,Blue,7,75
859,859,White,5,56
860,860,Silver,7,65
861,861,White,5,40
862,862,Black,5,54
863,863,Beige,5,55
864,864,Orange,5,43
865,865,Silver,5,35
866,866,White,5,66
867,867,Black,5,80
868,868,White,5,55
869,869,Silver,5,53
870,870,Black,5,80
871,871,Black,7,100
872,872,White,5,57
873,873,Bronze,7,53
874,874,White,5,50
875,875,Red,5,90
876,876,Blue,5,68
877,877,Black,7,80
878,878,White,5,35
879,879,Grey,5,40
880,880,White,7,53
881,881,White,5,60
882,882,Black,5,40
883,883,Red,5,40
884,884,White,5,42
885,885,White,7,53
886,886,Silver,5,42
887,887,Red,5,45
888,888,White,5,35
889,889,White,5,50
890,890,White,5,43
891,891,Green,5,28
892,892,White,8,60
893,893,Black,5,42
894,894,Blue,5,60
895,895,Red,5,35
896,896,Blue,7,53
897,897,Black,7,100
898,898,White,5,43
899,899,Green,5,53
900,900,White,5,55
901,901,Blue,5,70
902,902,Grey,5,73
903,903,White,5,71
904,904,Silver,5,48
905,905,White,5,53
906,906,White,8,60
907,907,Maroon,5,35
908,908,Silver,5,35
909,909,White,7,80
910,910,Blue,5,53
911,911,White,5,50
912,912,White,5,43
913,913,Black,7,80
914,914,White,5,66
915,915,White,5,43
916,916,Bronze,5,28
917,917,Black,7,78
918,918,Grey,5,40
919,919,White,5,67
920,920,Gold,7,80
921,921,Red,5,28
922,922,Red,5,35
923,923,Silver,5,45
924,924,Bronze,5,28
925,925,Maroon,5,40
926,926,Silver,5,37
927,927,Red,5,60
928,928,Brown,7,55
929,929,Blue,5,57
930,930,White,5,37
931,931,Silver,5,43
932,932,Blue,5,45
933,933,White,5,60
934,934,White,5,40
935,935,Grey,5,35
936,936,White,5,50
937,937,Silver,5,35
938,938,White,5,53
939,939,Grey,5,77
940,940,Bronze,7,55
941,941,Black,5,65
942,942,Blue,5,32
943,943,Black,7,55
944,944,Black,5,80
945,945,Grey,5,65
946,946,White,5,42
947,947,Maroon,5,45
948,948,White,5,64
949,949,White,5,40
950,950,Blue,5,66
951,951,White,5,50
952,952,Silver,5,50
953,953,Silver,5,40
954,954,Silver,5,43
955,955,Brown,5,48
956,956,Blue,5,75
957,957,Silver,7,40
958,958,Black,7,60
959,959,White,5,65
960,960,Red,5,42
961,961,Blue,7,100
962,962,White,5,43
963,963,White,7,65
964,964,Black,7,80
965,965,White,5,42
966,966,Black,5,60
967,967,Silver,7,45
968,968,Silver,5,35
969,969,White,5,45
970,970,Grey,5,40
971,971,Maroon,5,50
972,972,White,5,43
973,973,White,5,53
974,974,Silver,5,42
975,975,Silver,5,55
976,976,Silver,5,40
977,977,Grey,7,55
978,978,Maroon,5,82.5
979,979,Blue,5,64
980,980,White,5,66
981,981,Silver,5,64
982,982,Red,5,45
983,983,Silver,5,40
984,984,White,5,55
985,985,White,5,45
986,986,Silver,5,42
987,987,Red,5,32
988,988,Grey,5,44
989,989,White,5,43
990,990,White,5,42
991,991,White,7,70
992,992,Red,5,53
993,993,White,5,40
994,994,Orange,5,40
995,995,Silver,5,37
996,996,Red,5,80
997,997,White,7,50
998,998,Bronze,5,40
999,999,White,7,64
1000,1000,Bronze,7,55
1001,1001,Red,5,37
1002,1002,Blue,5,32
1003,1003,Silver,7,64
1004,1004,White,7,55
1005,1005,Grey,5,65
1006,1006,White,5,42
1007,1007,Black,5,56
1008,1008,Purple,7,55
1009,1009,White,5,66
1010,1010,Blue,5,48
1011,1011,White,5,35
1012,1012,Blue,5,45
1013,1013,Grey,5,42
1014,1014,Grey,5,50
1015,1015,Silver,5,50
1016,1016,White,5,35
1017,1017,White,5,45
1018,1018,Red,6,60
1019,1019,Silver,5,28
1020,1020,White,5,53
1021,1021,Blue,7,82
1022,1022,Black,4,57
1023,1023,Red,5,42
1024,1024,White,5,45
1025,1025,Grey,7,80
1026,1026,White,7,70
1027,1027,White,8,60
1028,1028,Black,5,66
1029,1029,Brown,5,75
1030,1030,Grey,5,43
1031,1031,Red,5,28
1032,1032,Silver,5,50
1033,1033,Green,7,60
1034,1034,White,5,53
1035,1035,Blue,5,50
1036,1036,Black,4,60.9
1037,1037,Grey,5,82
1038,1038,Silver,5,43
1039,1039,Gold,5,35
1040,1040,Blue,5,37
1041,1041,Grey,5,55
1042,1042,White,5,60
1043,1043,Green,5,44
1044,1044,White,7,80
1045,1045,White,8,55
1046,1046,White,5,48
1047,1047,Maroon,5,53
1048,1048,White,5,67.5
1049,1049,Grey,5,48
1050,1050,Blue,5,65
1051,1051,White,7,80
1052,1052,Others,5,35
1053,1053,Red,5,65
1054,1054,Blue,5,37
1055,1055,Blue,5,40
1056,1056,Maroon,5,37
1057,1057,Brown,5,35
1058,1058,Grey,7,45
1059,1059,White,5,35
1060,1060,Blue,5,37
1061,1061,White,5,35
1062,1062,White,5,53
1063,1063,White,5,42
1064,1064,Yellow,5,53
1065,1065,White,5,48
1066,1066,Red,5,27
1067,1067,White,5,35
1068,1068,Silver,5,55
1069,1069,White,7,80
1070,1070,White,5,50
1071,1071,Black,5,60
1072,1072,White,5,70
1073,1073,Red,5,45
1074,1074,Brown,5,37
1075,1075,Blue,5,53
1076,1076,White,5,60
1077,1077,Silver,5,42
1078,1078,Blue,5,73
1079,1079,Blue,5,45
1080,1080,Brown,5,45
1081,1081,White,5,73
1082,1082,Black,5,93
1083,1083,Black,5,64
1084,1084,Black,5,50
1085,1085,White,5,50
1086,1086,White,5,35
1087,1087,White,5,45
1088,1088,White,5,73
1089,1089,Red,5,55
1090,1090,Maroon,5,35
1091,1091,Silver,5,27
1092,1092,Maroon,7,55
1093,1093,Blue,5,50
1094,1094,Grey,5,42
1095,1095,Red,5,45
1096,1096,Grey,5,73
1097,1097,White,5,64
1098,1098,Red,8,60
1099,1099,Grey,5,43
1100,1100,Black,5,50
1101,1101,Grey,5,27
1102,1102,Green,5,47
1103,1103,Brown,5,42
1104,1104,White,7,80
1105,1105,Maroon,7,65
1106,1106,White,5,32
1107,1107,White,5,73
1108,1108,White,5,35
1109,1109,Red,5,37
1110,1110,White,8,60
1111,1111,White,5,43
1112,1112,Grey,5,40
1113,1113,White,5,66
1114,1114,Grey,5,45
1115,1115,White,5,65
1116,1116,White,5,63
1117,1117,Black,5,40
1118,1118,White,5,37
1119,1119,Grey,5,42
1120,1120,Grey,7,40
1121,1121,Grey,5,32
1122,1122,Silver,5,43
1123,1123,White,5,54
1124,1124,Blue,5,37
1125,1125,Black,5,52
1126,1126,White,5,50
1127,1127,White,5,73
1128,1128,Red,5,56
1129,1129,Black,5,93
1130,1130,Grey,5,45
1131,1131,Grey,5,35
1132,1132,Red,5,42
1133,1133,White,5,40
1134,1134,Black,5,63
1135,1135,Black,7,60
1136,1136,Maroon,5,35
1137,1137,White,6,45
1138,1138,White,5,57
1139,1139,White,5,43
1140,1140,Blue,5,50
1141,1141,White,5,48
1142,1142,White,5,45
1143,1143,Black,5,35
1144,1144,Blue,5,57
1145,1145,White,8,60
1146,1146,Blue,5,66
1147,1147,Blue,4,73
1148,1148,White,5,55
1149,1149,Grey,5,95
1150,1150,Red,5,73
1151,1151,White,5,43
1152,1152,Blue,5,44
1153,1153,Silver,5,55
1154,1154,Silver,5,43
1155,1155,Black,7,58
1156,1156,White,5,35
1157,1157,Silver,5,56
1158,1158,Brown,5,40
1159,1159,Brown,5,50
1160,1160,White,5,35
1161,1161,White,5,50
1162,1162,Brown,5,83
1163,1163,White,5,43
1164,1164,Blue,5,43
1165,1165,Silver,5,85
1166,1166,White,5,37
1167,1167,Red,5,68
1168,1168,White,5,35
1169,1169,Silver,5,40
1170,1170,Red,5,37
1171,1171,Black,5,50
1172,1172,Blue,5,60
1173,1173,Grey,5,43
1174,1174,White,5,32
1175,1175,Red,5,55
1176,1176,White,5,43
1177,1177,White,5,60
1178,1178,White,5,73
1179,1179,Red,5,83
1180,1180,Blue,6,45
1181,1181,Brown,5,35
1182,1182,White,5,43
1183,1183,Red,5,75
1184,1184,White,5,55
1185,1185,Maroon,5,45
1186,1186,Grey,5,40
1187,1187,White,5,50
1188,1188,Blue,5,42
1189,1189,Blue,5,43
1190,1190,White,7,70
1191,1191,Grey,5,45
1192,1192,Green,7,60
1193,1193,White,5,37
1194,1194,White,5,50
1195,1195,Red,5,63
1196,1196,White,5,67
1197,1197,Grey,5,65
1198,1198,White,5,60
1199,1199,White,7,75
1200,1200,Blue,5,45
1201,1201,Grey,7,70
1202,1202,Brown,7,35
1203,1203,White,5,45
1204,1204,White,5,37
1205,1205,White,5,35
1206,1206,Maroon,5,45
1207,1207,Blue,5,37
1208,1208,White,5,64
1209,1209,Red,5,50
1210,1210,Black,5,43
1211,1211,Silver,7,70
1212,1212,Silver,5,45
1213,1213,Red,5,60
1214,1214,White,5,50
1215,1215,Blue,5,42
