Spec_ID,Car_ID,Engine,Max Power,Max Torque,Drivetrain
245,245,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD
246,246,2996 cc,362 bhp @ 5500 rpm,520 Nm @ 2000 rpm,RWD
247,247,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD
248,248,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD
249,249,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
250,250,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD
251,251,1956 cc,138 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
252,252,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
253,253,1199 cc,84 bhp @ 6000 rpm,113 Nm @ 3300 rpm,FWD
254,254,998 cc,68@6200,90@3500,FWD
255,255,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
256,256,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
257,257,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
258,258,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD
259,259,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD
260,260,1997 cc,296 bhp @ 5500 rpm,400 Nm @ 1500 rpm,AWD
261,261,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,AWD
262,262,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD
263,263,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD
264,264,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD
265,265,1061 cc,67@6200,84@3500,FWD
266,266,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
267,267,999 cc,124 bhp @ 6000 rpm,,FWD
268,268,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD
269,269,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
270,270,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
271,271,2967 cc,245 bhp @ 4400 rpm,550 Nm @ 2750 rpm,AWD
272,272,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD
273,273,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD
274,274,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD
275,275,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD
276,276,2179 cc,148 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD
277,277,2497 cc,177@4000,400@2000,FWD
278,278,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
279,279,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
280,280,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
281,281,1198 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD
282,282,2999 cc,174 bhp @ 3600 rpm,380 Nm @ 1800 rpm,RWD
283,283,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
284,284,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD
285,285,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD
286,286,2179 cc,148 bhp @ 4000 rpm,320 Nm @ 1700 rpm,RWD
287,287,1197 cc,80@5200,111@4000,FWD
288,288,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
289,289,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD
290,290,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
291,291,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD
292,292,999 cc,124 bhp @ 6000 rpm,,FWD
293,293,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,RWD
294,294,1948 cc,90@4300,190@3000,FWD
295,295,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
296,296,796 cc,47@6200,62@3000,FWD
297,297,999 cc,124 bhp @ 6000 rpm,,FWD
298,298,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD
299,299,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
300,300,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
301,301,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,AWD
302,302,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
303,303,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD
304,304,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
305,305,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
306,306,3436 cc,325 bhp @ 7400 rpm,390 Nm @ 5600 rpm,AWD
307,307,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD
308,308,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
309,309,1999 cc,153 bhp @ 6200 rpm,192 Nm @ 4000 rpm,FWD
310,310,999 cc,124 bhp @ 6000 rpm,,FWD
311,311,1197 cc,83 bhp @ 6000 rpm,113 Nm @ 4000 rpm,FWD
312,312,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD
313,313,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD
314,314,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD
315,315,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
316,316,2925 cc,282 bhp @ 3600 rpm,600 Nm @ 1600 rpm,RWD
317,317,1198 cc,89 bhp @ 6200 rpm,110 Nm @ 4800 rpm,FWD
318,318,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD
319,319,2179 cc,188 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD
320,320,2489 cc,95@3600,220@1400,FWD
321,321,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD
322,322,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD
323,323,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD
324,324,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD
325,325,999 cc,124 bhp @ 6000 rpm,,FWD
326,326,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD
327,327,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
328,328,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD
329,329,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
330,330,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
331,331,1497 cc,118@6600,146@4600,FWD
